doorbot revision A - everything you need to buy
"23 line items, 46 pieces, $124.49 at prices read 2026-09-12. Printing needs 256 g of Bambu Lab PLA Tough+."
"Rows marked 'search' link to a vendor search, not one listing: those are commodity screws, dowels and line with no single part to cite."

buy from,item,part number,qty,unit $,line $,what it is for,buy link,link is a search,datasheet,link check
adafruit.com - one cart,"Piezo buzzer, 12 mm",1536,1,0.95,0.95,the alert at the end of the retry window,https://www.adafruit.com/product/1536,,,HTTP 200
adafruit.com - one cart,100 uF 16 V electrolytic capacitor,753,1,0.95,0.95,across the driver's motor supply; TI's minimum is 10 uF and a 1.0 A chop on a shared USB rail earns more,https://www.adafruit.com/product/753,,,HTTP 200
adafruit.com - one cart,0.1 uF ceramic capacitor,753-c,1,0.75,0.75,high-frequency bypass at the driver,https://www.adafruit.com/product/753,,,HTTP 200

"LilyGO, AliExpress or Amazon",1 pieces,,,,15.00
"LilyGO, AliExpress or Amazon","TTGO T-Display ESP32, 1.14 in ST7789 135x240",T-Display,1,15.00,15.00,"the brain and the screen, powered by USB-C at 5 V",https://www.amazon.com/s?k=TTGO+T-Display+ESP32+1.14+ST7789,search,https://github.com/Xinyuan-LilyGO/TTGO-T-Display,HTTP 200

kjmagnetics.com,4 pieces,,,,8.12
kjmagnetics.com,"Neodymium disc magnet, 12.7 x 6.35 mm, N42",D84,4,2.03,8.12,"two facing pairs at the latch edge: 70 N of pull at the as-built 2 mm gap, which is what shuts the last few millimetres and holds the leaf closed",https://www.kjmagnetics.com/proddetail.asp?prod=D84,,,HTTP 200

Bambu Lab store,1 pieces,,,,27.99
Bambu Lab store,"PLA Tough+ filament, 1 kg spool",pla-tough-plus,1,27.99,27.99,"every structural part; 245 g of it at 100% infill, so one spool covers several builds",https://us.store.bambulab.com/collections/pla,search,,HTTP 200

any hardware shop or Amazon,25 pieces,,,,11.78
any hardware shop or Amazon,"Braided Dyneema line, 1.2 mm, 150 lb test, 2 m",dyneema-150,1,8.00,8.00,"the cable; 680 N rating against a hardware-limited 151 N, a factor of 4.5",https://www.amazon.com/s?k=braided+dyneema+fishing+line+150+lb+1.2+mm,search,,HTTP 200
any hardware shop or Amazon,"Steel dowel pin, 4 x 35 mm",dowel-4x35,2,0.60,1.20,"the two gear shafts, so no printed part is a bearing surface under load",https://www.amazon.com/s?k=4mm+x+35mm+steel+dowel+pin,search,,HTTP 200
any hardware shop or Amazon,M3 x 10 mm self-tapping screw,m3x10,8,0.10,0.80,"four for the cover, two per time-of-flight board into their printed bosses",https://www.amazon.com/s?k=M3+x+10+mm+self+tapping+screw+plastic,search,,HTTP 200
any hardware shop or Amazon,"Wood screw, #6 x 20 mm, countersunk",screw-6x20,4,0.12,0.48,two per magnet pod,https://www.amazon.com/s?k=%236+x+3%2F4+in+countersunk+wood+screw,search,,HTTP 200
any hardware shop or Amazon,"Wood screw, #8 x 32 mm, countersunk",screw-8x32,3,0.15,0.45,holds the shell to the hinge-side jamb reveal,https://www.amazon.com/s?k=%238+x+1-1%2F4+in+countersunk+wood+screw,search,,HTTP 200
any hardware shop or Amazon,"Wood screw, #8 x 25 mm, countersunk",screw-8x25,3,0.15,0.45,holds the cable anchor to the door face; 95 N of withdrawal per screw at full tension,https://www.amazon.com/s?k=%238+x+1+in+countersunk+wood+screw,search,,HTTP 200
any hardware shop or Amazon,M3 x 8 mm self-tapping screw,m3x8,4,0.10,0.40,the T-Display and the driver board into their printed bosses,https://www.amazon.com/s?k=M3+x+8+mm+self+tapping+screw+plastic,search,,HTTP 200

,TOTAL,,46,,124.49
