net,source,target,awg,note
HEAD_BUCK_IN,F7 output,P5 UBEC IN red,22,
HEAD_BUCK_IN,F7 output,CI6 220uF25V +,22,
GND,B1 PP30 -,P5 IN black,22,
GND,B1 PP30 -,P5 OUT black,22,
GND,B1 PP30 -,CI6 -,22,
GND,B1 PP30 -,CO5 -,22,
GND,B1 PP30 -,D4 GND,22,
GND,B1 PP30 -,D4 BIN1,22,
GND,B1 PP30 -,D4 BIN2,22,
5V_HEAD,P5 OUT red,D4 VMotor +,22,
5V_HEAD,P5 OUT red,CO5 470uF10V +,22,
ENABLE,U1 GPIO13,D4 SLP,26,
FAULT,U1 GPIO36 / A4,D4 FLT,26,
HEAD_FWD,U1 GPIO26,D4 AIN1,26,
HEAD_FWD,U1 GPIO26,R_HEAD_FWD 10k pin1,26,
GND,B1 PP30 -,R_HEAD_FWD pin2,26,
HEAD_REV,U1 GPIO17,D4 AIN2,26,
HEAD_REV,U1 GPIO17,R_HEAD_REV 10k pin1,26,
GND,B1 PP30 -,R_HEAD_REV pin2,26,
M7+,D4 AOUT1,M7 red,22,
M7+,M7 red,CM7 100nF pin1,26,
M7-,D4 AOUT2,M7 black,22,
M7-,M7 black,CM7 100nF pin2,26,
RUN+,S2 output,F8 2A input,18,
POST_BUCK_IN,F8 output,P6 S13V25F12 VIN,22,
POST_BUCK_IN,F8 output,CI7 220uF25V +,22,
12V_POST_RAW,P6 VOUT,U10 INA219 VIN+,22,
12V_POST,U10 VIN-,D5 DRV8871 VM,22,
12V_POST,U10 VIN-,CO6 470uF25V +,22,
GND,B1 PP30 -,P6 GND,22,
GND,B1 PP30 -,CI7 -,22,
GND,B1 PP30 -,CO6 -,22,
GND,B1 PP30 -,D5 GND,22,
GND,B1 PP30 -,U10 GND,26,
GND,B1 PP30 -,U9 ADS1115 GND,26,
GND,B1 PP30 -,U9 ADDR,26,
GND,B1 PP30 -,U10 A0,26,
GND,B1 PP30 -,U10 A1,26,
GND,B1 PP30 -,U9 AIN1,26,
GND,B1 PP30 -,U9 AIN2,26,
GND,B1 PP30 -,U9 AIN3,26,
POST_EXTEND,U1 GPIO4,U7 pin5,26,
POST_EXTEND,U1 GPIO4,R_POST_EXTEND 10k pin1,26,
GND,B1 PP30 -,R_POST_EXTEND pin2,26,
POST_EXTEND_5V,U7 pin6,LS_EXT COM,26,
POST_EXTEND_LIMITED,LS_EXT NC,D5 IN1,26,
POST_EXTEND_LIMITED,D5 IN1,R_LS_EXT 4.7k pin1,26,
GND,B1 PP30 -,R_LS_EXT pin2,26,
POST_RETRACT,U1 GPIO16,U7 pin9,26,
POST_RETRACT,U1 GPIO16,R_POST_RETRACT 10k pin1,26,
GND,B1 PP30 -,R_POST_RETRACT pin2,26,
POST_RETRACT_5V,U7 pin8,LS_RET COM,26,
POST_RETRACT_LIMITED,LS_RET NC,D5 IN2,26,
POST_RETRACT_LIMITED,D5 IN2,R_LS_RET 4.7k pin1,26,
GND,B1 PP30 -,R_LS_RET pin2,26,
POST_RED,D5 OUT1,ACT red / pin3,22,
POST_BLACK,D5 OUT2,ACT black / pin4,22,
POST_ILIM,D5 ILIM / IC pin4,D5 replacement R1 71.5k pin2,26,Remove factory30k first; replace through provided resistor pads
GND,B1 PP30 -,D5 replacement R1 pin1,26,
3V3,U1 3V,U9 VDD,26,
3V3,U1 3V,U10 VCC,26,
3V3,U1 3V,ACT yellow / pin5,26,
GND,B1 PP30 -,ACT orange / pin1,26,
POT_WIPER,ACT purple / pin2,R_POT 1k pin1,26,
POST_ADC,R_POT pin2,U9 AIN0,26,
POST_ADC,U9 AIN0,R_POT_FAIL 470k pin1,26,
GND,B1 PP30 -,R_POT_FAIL pin2,26,
POST_ADC,U9 AIN0,C_POT 100nF pin1,26,
GND,B1 PP30 -,C_POT pin2,26,
I2C_SDA,U1 GPIO21,U9 SDA,26,
I2C_SDA,U1 GPIO21,U10 SDA,26,
I2C_SCL,U1 GPIO22,U9 SCL,26,
I2C_SCL,U1 GPIO22,U10 SCL,26,
