name,vendor,sku,tech,price_usd,fov_h_deg,fov_v_deg,zones,max_range_m,update_hz,interface,needs_line_of_sight,sees_through_plastic,width_1ft_mm,human_1ft,pet_1ft,object_1ft,width_3ft_mm,human_3ft,pet_3ft,object_3ft,width_5ft_mm,human_5ft,pet_5ft,object_5ft,width_8ft_mm,human_8ft,pet_8ft,object_8ft,width_10ft_mm,human_10ft,pet_10ft,object_10ft
VL53L8CH Histogram Multizone ToF,STMicroelectronics,VL53L8CH,tof-multizone,,45,45,8x8 plus compact normalised histogram,4.0,15,I2C 1 MHz or SPI 3 MHz,yes,no,253,5 full silhouette,3 living vs not,2 obstacle + range,758,3 living vs not,2 obstacle + range,2 obstacle + range,1263,3 living vs not,2 obstacle + range,2 obstacle + range,2020,2 obstacle + range,2 obstacle + range,2 obstacle + range,2525,0 nothing,0 nothing,0 nothing
VL53L7CH Wide-FoV Histogram Multizone ToF,STMicroelectronics,VL53L7CH,tof-multizone,,60,60,8x8 plus compact normalised histogram,3.5,15,I2C or SPI,yes,no,352,5 full silhouette,3 living vs not,2 obstacle + range,1056,0 nothing,0 nothing,0 nothing,1760,0 nothing,0 nothing,0 nothing,2816,0 nothing,0 nothing,0 nothing,3520,0 nothing,0 nothing,0 nothing
VL53L9CX 2268-Zone dToF Camera,STMicroelectronics,STEVAL-VL53L9,tof-multizone,80.39,55,42,54x42,8.8,100,MIPI I3C or MIPI CSI-2,yes,no,317,5 full silhouette,5 full silhouette,4 human vs pet,952,5 full silhouette,4 human vs pet,2 obstacle + range,1587,5 full silhouette,3 living vs not,2 obstacle + range,2539,4 human vs pet,3 living vs not,2 obstacle + range,3173,4 human vs pet,2 obstacle + range,2 obstacle + range
TMF8801 ToF Distance Sensor,Adafruit,6522,tof-single,9.95,24,24,1,2.5,30,I2C addr 0x41,yes,no,130,2 obstacle + range,2 obstacle + range,2 obstacle + range,389,2 obstacle + range,2 obstacle + range,2 obstacle + range,648,2 obstacle + range,2 obstacle + range,2 obstacle + range,1037,2 obstacle + range,2 obstacle + range,2 obstacle + range,1296,0 nothing,0 nothing,0 nothing
TMF8806 ToF Distance Sensor,Adafruit,6501,tof-single,12.50,30,30,1,5.0,30,I2C addr 0x41,yes,no,163,2 obstacle + range,2 obstacle + range,2 obstacle + range,490,2 obstacle + range,2 obstacle + range,2 obstacle + range,817,2 obstacle + range,2 obstacle + range,2 obstacle + range,1307,2 obstacle + range,2 obstacle + range,2 obstacle + range,1633,2 obstacle + range,2 obstacle + range,2 obstacle + range
TMF8820 3x3 Multizone dToF,ams-OSRAM,TMF8820,tof-multizone,,33,32,3x3,5.0,30,I2C addr 0x41,yes,no,181,4 human vs pet,2 obstacle + range,2 obstacle + range,542,3 living vs not,2 obstacle + range,2 obstacle + range,903,2 obstacle + range,2 obstacle + range,2 obstacle + range,1445,2 obstacle + range,2 obstacle + range,2 obstacle + range,1806,2 obstacle + range,2 obstacle + range,2 obstacle + range
TMF8821 4x4 Multizone dToF,ams-OSRAM,TMF8821,tof-multizone,,41,52,4x4,5.0,15,I2C addr 0x41; I3C tolerant,yes,no,228,4 human vs pet,3 living vs not,2 obstacle + range,684,3 living vs not,2 obstacle + range,2 obstacle + range,1140,2 obstacle + range,2 obstacle + range,2 obstacle + range,1823,2 obstacle + range,2 obstacle + range,2 obstacle + range,2279,2 obstacle + range,2 obstacle + range,2 obstacle + range
TMF8828 8x8 Multizone dToF,ams-OSRAM,TMF8828,tof-multizone,,41,52,8x8,4.4,15,I2C addr 0x41; I3C tolerant,yes,no,228,5 full silhouette,3 living vs not,2 obstacle + range,684,4 human vs pet,2 obstacle + range,2 obstacle + range,1140,3 living vs not,2 obstacle + range,2 obstacle + range,1823,0 nothing,0 nothing,0 nothing,2279,0 nothing,0 nothing,0 nothing
RPLIDAR A1M8 360 Laser Range Scanner,Slamtec,Adafruit 4010,tof-lidar-scanning,99.95,360,0,360 per rev,12.0,5.5,UART 115200 8N1 with USB adapter,yes,no,5 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,16 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,27 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,43 (sample pitch),3 living vs not,2 obstacle + range,0 nothing,53 (sample pitch),3 living vs not,2 obstacle + range,0 nothing
RPLIDAR C1 360 dTOF Scanner,Slamtec,RPLIDAR C1,tof-lidar-scanning,69.00,360,0,500 per rev,12.0,10,UART 460800,yes,no,4 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,11 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,19 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,31 (sample pitch),3 living vs not,2 obstacle + range,0 nothing,38 (sample pitch),3 living vs not,2 obstacle + range,0 nothing
RPLIDAR A2M12,Slamtec,A2M12,tof-lidar-scanning,,360,0,1600 per rev,12.0,10,UART,yes,no,1 (sample pitch),3 living vs not,3 living vs not,3 living vs not,4 (sample pitch),3 living vs not,3 living vs not,3 living vs not,6 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,10 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,12 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range
RPLIDAR S2,Slamtec,S2 / S2E,tof-lidar-scanning,,360,0,3200 per rev,30.0,10,serial on S2; Ethernet on S2E,yes,no,1 (sample pitch),3 living vs not,3 living vs not,3 living vs not,2 (sample pitch),3 living vs not,3 living vs not,3 living vs not,3 (sample pitch),3 living vs not,3 living vs not,3 living vs not,5 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,6 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range
RPLIDAR S2L,Slamtec,S2L,tof-lidar-scanning,,360,0,3200 per rev,18.0,10,serial,yes,no,1 (sample pitch),3 living vs not,3 living vs not,3 living vs not,2 (sample pitch),3 living vs not,3 living vs not,3 living vs not,3 (sample pitch),3 living vs not,3 living vs not,3 living vs not,5 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,6 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range
RPLIDAR S2P,Slamtec,S2P,tof-lidar-scanning,,360,0,3200 per rev,50.0,10,serial,yes,no,1 (sample pitch),3 living vs not,3 living vs not,3 living vs not,2 (sample pitch),3 living vs not,3 living vs not,3 living vs not,3 (sample pitch),3 living vs not,3 living vs not,3 living vs not,5 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,6 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range
LDROBOT LD06 360 Scanner,LDROBOT,LD06,tof-lidar-scanning,,360,0,450 per rev,12.0,10,UART 230400 one-way stream,yes,no,5 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,16 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,27 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,43 (sample pitch),3 living vs not,2 obstacle + range,0 nothing,53 (sample pitch),3 living vs not,2 obstacle + range,0 nothing
LDROBOT LD19 / LD19P 360 dTOF Scanner,LDROBOT,LD19,tof-lidar-scanning,99.00,360,0,450 per rev,12.0,10,UART 230400 ZH1.5T-4P,yes,no,5 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,16 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,27 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,43 (sample pitch),3 living vs not,2 obstacle + range,0 nothing,53 (sample pitch),3 living vs not,2 obstacle + range,0 nothing
Waveshare D500 LiDAR Kit,Waveshare,D500,tof-lidar-scanning,,360,0,500 per rev,12.0,10,UART 230400,yes,no,4 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,11 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,19 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,31 (sample pitch),3 living vs not,2 obstacle + range,0 nothing,38 (sample pitch),3 living vs not,2 obstacle + range,0 nothing
YDLIDAR X2,YDLIDAR,X2,tof-lidar-scanning,,360,0,500 per rev,8.0,6,UART,yes,no,4 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,11 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,19 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,31 (sample pitch),3 living vs not,2 obstacle + range,0 nothing,38 (sample pitch),3 living vs not,2 obstacle + range,0 nothing
YDLIDAR X4 PRO,YDLIDAR,X4 PRO,tof-lidar-scanning,,360,0,833 per rev,10.0,6,UART,yes,no,2 (sample pitch),3 living vs not,3 living vs not,3 living vs not,7 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,11 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,18 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,23 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range
YDLIDAR G4,YDLIDAR,G4,tof-lidar-scanning,,360,0,1800 per rev,16.0,5,UART,yes,no,1 (sample pitch),3 living vs not,3 living vs not,3 living vs not,3 (sample pitch),3 living vs not,3 living vs not,3 living vs not,5 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,9 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,11 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range
YDLIDAR T-mini Plus,YDLIDAR,T-mini Plus,tof-lidar-scanning,,360,0,666 per rev,12.0,6,UART,yes,no,3 (sample pitch),3 living vs not,3 living vs not,3 living vs not,9 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,14 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,23 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range,29 (sample pitch),3 living vs not,2 obstacle + range,2 obstacle + range
Livox Mid-360 3D LiDAR,Livox,Mid-360,tof-lidar-scanning,,360,0,200000 points per second,70.0,10,100BASE-TX Ethernet,yes,no,1 (sample pitch),3 living vs not,3 living vs not,3 living vs not,2 (sample pitch),3 living vs not,3 living vs not,3 living vs not,4 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,6 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range,8 (sample pitch),3 living vs not,3 living vs not,2 obstacle + range
Benewake TFmini Infrared ToF,Benewake,Adafruit 3978,tof-lidar,44.95,2.3,2.3,1,12.0,100,UART 115200 8N1,yes,no,12,2 obstacle + range,2 obstacle + range,2 obstacle + range,37,2 obstacle + range,2 obstacle + range,2 obstacle + range,61,2 obstacle + range,2 obstacle + range,2 obstacle + range,98,2 obstacle + range,2 obstacle + range,2 obstacle + range,122,0 nothing,0 nothing,0 nothing
Benewake TF-Luna,Benewake,TF-Luna,tof-lidar,29.90,,,1,8.0,250,UART or I2C or I/O,yes,no,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range
Benewake TFmini-S,Benewake,TFmini-S,tof-lidar,,,,1,12.0,,UART or I2C or I/O,yes,no,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range
Garmin LIDAR-Lite v3,Garmin,Adafruit 4058,tof-lidar,129.95,0.46,0.46,1,40.0,270,I2C addr 0x62 or PWM,yes,no,2,2 obstacle + range,2 obstacle + range,2 obstacle + range,7,2 obstacle + range,2 obstacle + range,2 obstacle + range,12,2 obstacle + range,2 obstacle + range,2 obstacle + range,20,2 obstacle + range,2 obstacle + range,2 obstacle + range,24,2 obstacle + range,2 obstacle + range,2 obstacle + range
Garmin LIDAR-Lite v4 LED,Garmin,Adafruit 4441,tof-lidar,59.95,4.77,4.77,1,10.0,200,I2C or ANT,yes,no,25,2 obstacle + range,2 obstacle + range,2 obstacle + range,76,2 obstacle + range,2 obstacle + range,2 obstacle + range,127,2 obstacle + range,2 obstacle + range,2 obstacle + range,203,2 obstacle + range,2 obstacle + range,2 obstacle + range,254,2 obstacle + range,2 obstacle + range,2 obstacle + range
Sharp GP2Y0A21YK0F Analog IR Ranger,Sharp,Adafruit 164,proximity,14.95,,,1,0.8,26,analog voltage,yes,no,,1 presence only,1 presence only,1 presence only,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
Sharp GP2Y0A02YK0F Analog IR Ranger,Sharp,Adafruit 1031,proximity,15.95,,,1,1.5,,analog voltage,yes,no,,1 presence only,1 presence only,1 presence only,,1 presence only,1 presence only,1 presence only,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
Sharp GP2Y0D810Z0F Digital Distance Switch,Pololu,Adafruit 1927,proximity,8.95,,,1,0.1,400,digital high/low,yes,no,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
Sharp GP2Y0D805Z0F Digital Distance Switch,Pololu,Adafruit 3025,proximity,,,,1,0.05,,digital high/low,yes,no,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
HC-SR04 Ultrasonic Sonar Distance Sensor,Adafruit,3942,ultrasonic,3.95,15,15,1,4.0,,trigger/echo GPIO,yes,no,80,2 obstacle + range,2 obstacle + range,2 obstacle + range,241,2 obstacle + range,2 obstacle + range,2 obstacle + range,401,2 obstacle + range,2 obstacle + range,2 obstacle + range,642,2 obstacle + range,2 obstacle + range,2 obstacle + range,803,2 obstacle + range,2 obstacle + range,2 obstacle + range
RCWL-1601 Ultrasonic Distance Sensor 3V/5V,Adafruit,4007,ultrasonic,3.95,30,30,1,4.5,,trigger/echo GPIO,yes,no,163,2 obstacle + range,2 obstacle + range,2 obstacle + range,490,2 obstacle + range,2 obstacle + range,2 obstacle + range,817,2 obstacle + range,2 obstacle + range,2 obstacle + range,1307,2 obstacle + range,2 obstacle + range,2 obstacle + range,1633,2 obstacle + range,2 obstacle + range,2 obstacle + range
US-100 Ultrasonic Distance Sensor 3V/5V,Adafruit,4019,ultrasonic,6.95,15,15,1,4.5,,HC-SR04 trigger/echo mode or UART 9600,yes,no,80,2 obstacle + range,2 obstacle + range,2 obstacle + range,241,2 obstacle + range,2 obstacle + range,2 obstacle + range,401,2 obstacle + range,2 obstacle + range,2 obstacle + range,642,2 obstacle + range,2 obstacle + range,2 obstacle + range,803,2 obstacle + range,2 obstacle + range,2 obstacle + range
MaxBotix LV-MaxSonar-EZ0,MaxBotix,MB1000 / Adafruit 979,ultrasonic,29.95,,,1,6.45,20,analog Vcc/512 per inch; PWM 147 us/in; serial 9600,yes,no,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range
MaxBotix LV-MaxSonar-EZ4,MaxBotix,MB1040 / Adafruit 982,ultrasonic,28.50,,,1,6.45,20,analog or PWM or serial 9600,yes,no,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range,,2 obstacle + range,2 obstacle + range,2 obstacle + range
Large Ultrasonic Sensor with Horn UART,Adafruit,4664,ultrasonic,28.95,40,40,1,7.5,,UART 9600,yes,no,222,2 obstacle + range,2 obstacle + range,2 obstacle + range,666,2 obstacle + range,2 obstacle + range,2 obstacle + range,1109,2 obstacle + range,2 obstacle + range,2 obstacle + range,1775,2 obstacle + range,2 obstacle + range,2 obstacle + range,2219,2 obstacle + range,2 obstacle + range,2 obstacle + range
VCNL4200 Long Distance IR Proximity and Light Sensor,Adafruit,6064,proximity,6.95,,,1,1.5,,I2C addr 0x51,yes,no,,1 presence only,1 presence only,1 presence only,,1 presence only,1 presence only,1 presence only,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
VCNL4030 Proximity and Lux Sensor,Adafruit,6491,proximity,5.95,,,1,0.3,,I2C,yes,no,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
VCNL4040 Proximity and Lux Sensor,Adafruit,4161,proximity,5.95,,,1,0.2,,I2C,yes,no,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
APDS9960 Proximity Light RGB and Gesture Sensor,Adafruit,3595,proximity,7.50,,,1,,,I2C,yes,no,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
STEMMA Reflective Photo Interrupter TCRT1000,Adafruit,5913,proximity,4.95,,,1,,,digital/analog pin,yes,no,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing,,0 nothing,0 nothing,0 nothing
AMG8833 Grid-EYE IR Thermal Camera Breakout,Adafruit,3538,thermal-ir-array,44.95,60,60,8x8,7.0,10,I2C 400 kHz addr 0x69 or 0x68,yes,no,352,4 human vs pet,3 living vs not,0 nothing,1056,3 living vs not,1 presence only,0 nothing,1760,1 presence only,0 nothing,0 nothing,2816,1 presence only,0 nothing,0 nothing,3520,1 presence only,0 nothing,0 nothing
AMG8833 IR Thermal Camera FeatherWing,Adafruit,3622,thermal-ir-array,44.95,60,60,8x8,7.0,10,I2C addr 0x69,yes,no,352,4 human vs pet,3 living vs not,0 nothing,1056,3 living vs not,1 presence only,0 nothing,1760,1 presence only,0 nothing,0 nothing,2816,1 presence only,0 nothing,0 nothing,3520,1 presence only,0 nothing,0 nothing
MLX90640 32x24 IR Thermal Camera Breakout 55 Degree,Adafruit,4407,thermal-ir-array,74.95,55,35,32x24,7.0,8,I2C addr 0x33 programmable,yes,no,317,5 full silhouette,5 full silhouette,0 nothing,952,5 full silhouette,3 living vs not,0 nothing,1587,4 human vs pet,1 presence only,0 nothing,2539,3 living vs not,1 presence only,0 nothing,3173,3 living vs not,1 presence only,0 nothing
MLX90640 32x24 IR Thermal Camera Breakout 110 Degree,Adafruit,4469,thermal-ir-array,74.95,110,75,32x24,7.0,8,I2C addr 0x33 programmable,yes,no,871,5 full silhouette,3 living vs not,0 nothing,2612,3 living vs not,1 presence only,0 nothing,4353,3 living vs not,1 presence only,0 nothing,6965,1 presence only,0 nothing,0 nothing,8706,1 presence only,0 nothing,0 nothing
STHS34PF80 IR Presence and Motion Sensor,Adafruit,6426,thermal-ir-point,14.95,80,80,1,4.0,30,I2C addr 0x5A or 3-wire SPI,yes,no,512,1 presence only,1 presence only,0 nothing,1535,1 presence only,1 presence only,0 nothing,2558,1 presence only,1 presence only,0 nothing,4092,1 presence only,1 presence only,0 nothing,5115,1 presence only,1 presence only,0 nothing
MLX90614 Contact-less IR Thermometer 3V,Adafruit,1747,thermal-ir-point,15.95,90,90,1,,,I2C addr 0x5A,yes,no,610,0 nothing,0 nothing,0 nothing,1829,0 nothing,0 nothing,0 nothing,3048,0 nothing,0 nothing,0 nothing,4877,0 nothing,0 nothing,0 nothing,6096,0 nothing,0 nothing,0 nothing
MLX90614 Contact-less IR Thermometer 5V,Adafruit,1748,thermal-ir-point,15.95,90,90,1,,,I2C addr 0x5A,yes,no,610,0 nothing,0 nothing,0 nothing,1829,0 nothing,0 nothing,0 nothing,3048,0 nothing,0 nothing,0 nothing,4877,0 nothing,0 nothing,0 nothing,6096,0 nothing,0 nothing,0 nothing
UTi165H Thermal Camera Imager,UNI-T,Adafruit 4578,thermal-ir-array,250.00,56,42,160x120,,9,2.8 inch 320x240 LCD only,yes,no,324,0 nothing,0 nothing,0 nothing,972,0 nothing,0 nothing,0 nothing,1621,0 nothing,0 nothing,0 nothing,2593,0 nothing,0 nothing,0 nothing,3241,0 nothing,0 nothing,0 nothing
UTi165K Thermal Camera Imager with USB Video,UNI-T,Adafruit 4579,thermal-ir-array,499.95,56,42,160x120,,9,USB-C real-time video out plus LCD,yes,no,324,0 nothing,0 nothing,0 nothing,972,0 nothing,0 nothing,0 nothing,1621,0 nothing,0 nothing,0 nothing,2593,0 nothing,0 nothing,0 nothing,3241,0 nothing,0 nothing,0 nothing
PIR Motion Sensor,Adafruit,189,pir,9.95,120,120,1,7.0,,digital high/low,yes,no,1056,1 presence only,1 presence only,0 nothing,3168,1 presence only,1 presence only,0 nothing,5279,1 presence only,1 presence only,0 nothing,8447,1 presence only,1 presence only,0 nothing,10559,1 presence only,1 presence only,0 nothing
Breadboard-friendly Mini PIR Motion Sensor,Adafruit,4871,pir,3.95,100,100,1,5.0,,digital high/low,yes,no,726,0 nothing,0 nothing,0 nothing,2179,0 nothing,0 nothing,0 nothing,3632,0 nothing,0 nothing,0 nothing,5812,1 presence only,1 presence only,0 nothing,7265,1 presence only,1 presence only,0 nothing
Mini PIR Sensor with Time and Sensitivity Control BS612,Adafruit,5578,pir,1.95,120,120,1,5.0,,digital high/low,yes,no,1056,1 presence only,1 presence only,0 nothing,3168,1 presence only,1 presence only,0 nothing,5279,1 presence only,1 presence only,0 nothing,8447,1 presence only,1 presence only,0 nothing,10559,1 presence only,1 presence only,0 nothing
mmWave Radar 24GHz Human Presence Detection Sensor 9m,DFRobot,SEN0395,mmwave-24ghz,29.00,100,40,1,9.0,,UART 115200 plus GPIO2 level,no,yes,726,3 living vs not,3 living vs not,0 nothing,2179,3 living vs not,3 living vs not,0 nothing,3632,3 living vs not,3 living vs not,0 nothing,5812,3 living vs not,3 living vs not,0 nothing,7265,3 living vs not,3 living vs not,0 nothing
mmWave C4001 24GHz Presence Sensor 25m UART,DFRobot,SEN0609,mmwave-24ghz,13.90,100,40,1,25.0,,UART 9600 plus configurable IO,no,yes,726,0 nothing,0 nothing,0 nothing,2179,0 nothing,0 nothing,0 nothing,3632,3 living vs not,3 living vs not,0 nothing,5812,3 living vs not,3 living vs not,0 nothing,7265,3 living vs not,3 living vs not,0 nothing
Gravity mmWave C4001 24GHz Presence Sensor 12m I2C and UART,DFRobot,SEN0610,mmwave-24ghz,12.90,100,80,1,12.0,,I2C addr 0x2A or 0x2B plus UART 9600,no,yes,726,0 nothing,0 nothing,0 nothing,2179,0 nothing,0 nothing,0 nothing,3632,3 living vs not,3 living vs not,0 nothing,5812,3 living vs not,3 living vs not,0 nothing,7265,3 living vs not,3 living vs not,0 nothing
Fermion C4002 mmWave Motion and Static Presence Module,DFRobot,SEN0691,mmwave-24ghz,8.90,120,120,26 range gates of 20 cm,11.0,10,UART 57600 to 1 Mbps plus configurable OUT pin,no,yes,1056,3 living vs not,3 living vs not,0 nothing,3168,3 living vs not,3 living vs not,0 nothing,5279,3 living vs not,3 living vs not,0 nothing,8447,3 living vs not,3 living vs not,0 nothing,10559,3 living vs not,3 living vs not,0 nothing
