reference,quantity,item,part_number,supplier,url,unit_usd,price_basis,notes
H18,1,"Compression spring 10 mm OD x 25 mm free length, 0.6 mm wire, 304 stainless, pack of 5",Compression spring 10 x 25 x 0.6,Amazon,https://us.amazon.com/Compression-Spring-Stainless-Length-Silver/dp/B0DK9C5YT5,2.24,listed,Two used on the head-drive tensioner; stack two per screw if the friction wheel slips on the dome ring.
H19,1,"Socket cap screws M4 x 0.7 x 12 mm, 12.9 alloy, pack of 50",M4 x 12 socket cap 50 pack,Amazon,https://www.amazon.com/dp/B074TFLBFQ,7.29,listed,"Twenty-four used: eight at the body ring seam, eight at the two leg splices, four on the head-drive mount, four holding the electronics tray."
H20,40,"Hex nut M4-0.7, class 8.8 zinc",Bolt Depot 4784,Bolt Depot,https://boltdepot.com/Product-List?Units=Metric&Category=Nuts&Subcategory=Hex_nuts&F_Diameter=4mm&F_Thread_pitch=0.7mm&Material=Steel&Plating=Zinc,0.05,listed,Behind every M4 that does not land in a heat-set insert. $2.54 per 100. Revision D: four more behind the carriage bearing-clamp screws (H39).
H21,50,"Flat washer M4, zinc",Bolt Depot 4525,Bolt Depot,https://boltdepot.com/Product-List?Units=Metric&Category=Washers&Subcategory=Flat_washers&F_Size=4mm&Material=Steel&Plating=Zinc,0.05,listed,One under every M4 head and nut. $1.28 per 100.
H22,1,"Heat-set inserts M4 x 8.1 mm, brass, pack of 50 (ruthex RX-M4x8.1)",ruthex RX-M4x8.1,Amazon,https://www.amazon.com/dp/B07YSV66Y5,9.99,listed,"Head-drive mount, electronics tray bosses and the leg splice plates. CAD pocket 5.83 mm diameter x 8.6 mm deep. Revision D: six more, four behind the two GN 412 flanges and two for the guide-shaft set screws (H43)."
H23,1,"Socket and button head screw, nut and washer kit, M2 / M3 / M4, 1080 pieces",M2 M3 M4 screw kit 1080 pcs,Amazon,https://www.amazon.com/dp/B0CHMKL1DF,12.99,listed,"Source of the M3 x 10 motor-saddle screws (14), the M2 x 6 screws for the four matrix backpacks and the KB2040, and general M3 and M4 spares. Revision D: ten M3 x 10 screws (eight MG995 ear screws, two horn tip pins), two M3 nuts on the tip pins, four M2 x 12 screws for the two SS-01GL switches."
H24,2,"Heat-set inserts M3 x 4 mm, brass, pack of 50",Adafruit 4255,Adafruit,https://www.adafruit.com/product/4255,5.95,listed,"Motor saddles in the three feet (14), dome display mounts, slip-ring clamp and the tray standoff bosses. CAD pocket 4.24 mm diameter x 4.5 mm deep. Revision D: eight more behind the two MG995 servo ears."
H25,1,"Nylon machine screw and stand-off set, M2.5 thread, 380 pieces",Adafruit 3299,Adafruit,https://www.adafruit.com/product/3299,16.95,listed,"M2.5 x 8 mm screws and standoffs for the Raspberry Pi (four holes, 58 x 49 mm pattern) and the round TFT (two 2.5 mm holes 22.8 mm apart). Page reads Out of stock on 2026-09-12; Adafruit 3658 is the same set in white."
H26,1,"Nylon standoff kit M3, 260 pieces, 6-20 mm",HVAZI M3 standoff kit,Amazon,https://www.amazon.com/dp/B01HDR72Q2,9.99,listed,"Stands the four DRV8833 boards, both 6 V regulators, the 5 V regulator, the ADS1115 and the amplifier off the electronics tray."
H27,1,"Hook-and-loop cinch straps, 25 mm x 400 mm, pack of 6",MECCANIXITY cinch straps,Amazon,https://www.amazon.com/dp/B0F43TNSM2,7.59,listed,"Two across the battery on the body_lower shelf, anchored in the printed strap slots. One strap does not reach round the battery on its own."
H28,1,"Cable ties, 8 inch, pack of 100",Skalon 8 inch cable ties,Amazon,https://www.amazon.com/dp/B09PJ8L58G,3.99,listed,"Harness bundling, strain relief at the slip ring and every leg pass-through."
H29,1,"Adhesive cable-tie mounts, 3/4 inch, pack of 100",GTSE tie mounts,Amazon,https://www.amazon.com/dp/B0877BD2SH,14.99,listed,Route the harness along the inside of the body rings and the legs; each mount also takes an M3 screw if the adhesive lets go.
H30,1,"Closed-cell foam tape, 3/4 x 3/8 inch x 17 ft",Simply Conserve foam tape,Amazon,https://www.amazon.com/dp/B00TRUC19C,4.99,allowance,"Under the battery, behind the speaker and around the dome plate. The buy-box price was not extractable on 2026-09-12; $4.99 was the first listed price."
H31,5,"Filament, Bambu PETG Basic, 1.75 mm, 1 kg - structural prints",Bambu PETG Basic,Bambu Lab US store,https://us.store.bambulab.com/products/petg-basic,17.99,listed,"Body rings, legs, feet, tray and head drive at 0.20 mm layers, five walls, 30-40 percent gyroid. loads.md estimates 4-5 kg for the whole robot."
H32,1,"Filament, Bambu PETG-CF, 1.75 mm, 1 kg - shoulder bosses (optional)",Bambu PETG-CF,Bambu Lab US store,https://us.store.bambulab.com/products/petg-cf,31.99,listed,Optional: highest X-Y bending strength (83 MPa) for the shoulder bosses and leg cores. Needs a hardened steel nozzle and is not AMS lite compatible.
H33,1,"Filament, Bambu PLA Basic, 1.75 mm, 1 kg - dome (optional finish)",Bambu PLA Basic,Bambu Lab US store,https://us.store.bambulab.com/products/pla-basic-filament,19.99,listed,"Optional: the dome carries only its own weight on the ring bearing, and PLA holds the panel detail better. Keep the robot out of a hot car either way."
H34,2,"Indexing plunger, zinc die-cast, 6 mm pin, screw-on flange 35 x 26 x 12 mm - shoulder stance lock",J.W. Winco GN 412-6-35-B-1,J.W. Winco,https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Indexing-plungers/GN-412-Zinc-Die-Cast-Indexing-Plungers-with-Screw-On-Flange,11.77,listed,"One per shoulder. Flange sits 5 mm deep in the body_upper pad and 7 mm proud, pin face 1 mm from the leg; 5 mm engagement. Pin 6 mm, spring 5 N initial / 15 N end, 0.152 lb (drawing https://live-catalog.jwwinco.com/pdf/winco/us/412.pdf). Price and data as recorded in fable-r2d3 docs/revision-d-mechanism.md on 2026-09-12."
H35,4,"Receiver bushing, hardened, M12 x 1.5 x 10 mm body, 13 mm hex, 6.2 mm bore",J.W. Winco GN 412.2-M12X1.5-B6.2,J.W. Winco,https://live-catalog.jwwinco.com/pdf/winco/us/412_2.pdf?dispositiontype=attachment,5.66,listed,"Two per leg_upper inboard face at 50 mm radius, 261 and 279 deg (tilt 0 and 18). Screwed into 11.0 mm thread-forming bores; the hex seats in a 13.3 mm pocket. 0.022 lb each."
H36,2,"Hex bolt M8-1.25 x 35 mm, class 8.8 zinc - centre-leg pitch hinge",Bolt Depot metric hex bolt 8 mm x 1.25 mm x 35 mm,Bolt Depot,https://boltdepot.com/Metric_hex_bolts_Zinc_plated_class_8.8_steel_8mm_x_1.25mm.aspx,0.35,allowance,"One per carriage cheek, through the bronze sleeve (H37) into a captive M8 nut (H10) in leg_center, with an M8 washer (H12) under the head. Bolt Depot page prices load by script; allowance."
H37,1,"Sintered bronze sleeve bushing 8 mm ID x 12 mm OD x 12 mm long, pack of 10",uxcell 8x12x12 mm bronze bushing 10 pack,Amazon,https://www.amazon.com/s?k=uxcell+sintered+bronze+bushing+8mm+bore+12mm+OD+12mm+length,9.99,allowance,Two used: the pitch-hinge sleeves. Each is clamped to leg_center by its M8 bolt; the 11 mm carriage cheek turns on its outside and it stands 0.5 mm proud. Eight spare. Search link: the listing page was not fetched on 2026-09-12.
H38,1,"Linear ball bushing LM12LUU, 12 x 21 x 57 mm, sealed, two pack",VXB LM12LUU two pack,VXB,https://vxb.com/products/two-pack-lm12luu-12mm-long-linear-ball-bearing-bus,39.99,listed,"Both used: one per carriage bearing seat, clamped by a slit and two M4 screws. Page on 2026-09-12 showed $39.99 and a second $80.00 compare-at figure; the lower is taken. Load rating 657 N dynamic / 1200 N static (Bearings Direct listing)."
H39,4,"Socket cap screw M4-0.7 x 25 mm, class 12.9 alloy - carriage bearing clamps",Bolt Depot metric socket cap 4 mm x 0.7 mm x 25 mm,Bolt Depot,https://boltdepot.com/Metric_socket_cap_Class_12.9_black_alloy_steel_4mm_x_0.7mm.aspx,0.25,allowance,"Two per LM12LUU seat, across the clamp slit, nut in a printed pocket (H20)."
H40,2,Hardened chrome steel linear shaft 12 mm x 200 mm - centre-leg guide,VXB 12mm shaft hardened rod 200 mm,VXB,https://vxb.com/products/12mm-shaft-hardened-rod-linear-motion-200mm-long,19.99,listed,"CUT EACH TO 182 mm, deburr and chamfer. Pressed into the blind bottom boss and the open top boss of body_lower at x +/-66 mm on the 30 deg guide. Page on 2026-09-12 showed $19.99 and $30.00; the lower is taken."
H41,4,"Socket cap screw M4-0.7 x 16 mm, class 12.9 alloy - GN 412 flanges",Bolt Depot metric socket cap 4 mm x 0.7 mm x 16 mm,Bolt Depot,https://boltdepot.com/Metric_socket_cap_Class_12.9_black_alloy_steel_4mm_x_0.7mm.aspx,0.22,allowance,"Two per plunger, heads in the flange counterbores, into M4 heat-set inserts (H22). The leg must be off to fit them."
H42,1,"Socket cap screw M4-0.7 x 45 mm, class 12.9 alloy - P16 rod-eye pin",Bolt Depot metric socket cap 4 mm x 0.7 mm x 45 mm,Bolt Depot,https://boltdepot.com/Metric_socket_cap_Class_12.9_black_alloy_steel_4mm_x_0.7mm.aspx,0.35,allowance,Through the carriage cross-web and the actuator rod eye; nylon-insert nut (H45) in the web pocket.
H43,2,"Set screw M4-0.7 x 8 mm, cup point, alloy - guide-shaft retention",Bolt Depot metric socket set screw cup point 4 mm x 0.7 mm x 8 mm,Bolt Depot,https://boltdepot.com/Metric_socket_set_screws_cup_point_Alloy_steel_4mm_x_0.7mm.aspx,0.18,allowance,"One per top shaft boss, into an M4 heat-set insert (H22), against the shaft."
H44,1,"Socket cap screw M4-0.7 x 60 mm, class 12.9 alloy - P16 fixed-eye pin",Bolt Depot metric socket cap 4 mm x 0.7 mm x 60 mm,Bolt Depot,https://boltdepot.com/Metric_socket_cap_Class_12.9_black_alloy_steel_4mm_x_0.7mm.aspx,0.45,allowance,Through both body_upper deck cheeks and the actuator's fixed eye; nylon-insert nut (H45).
H45,2,"Nylon-insert lock nut M4-0.7, zinc",Bolt Depot metric nylon insert lock nut 4 mm x 0.7 mm,Bolt Depot,https://boltdepot.com/Metric_nylon_insert_lock_nuts_Zinc_plated_steel_4mm_x_0.7mm.aspx,0.08,allowance,"On the two actuator eye pins (H42, H44)."
