reference,quantity,item,part_number,supplier,url,unit_usd,price_basis,notes
TB1,6,"F2 female spade terminal, 0.250 inch, insulated crimp, 14-16 AWG",TE 3-520408-2,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/3-520408-2/14800982,0.59,listed,"Two on the battery, two on SW1, two spare."
WR1,1,"Silicone wire, 16 AWG, red and black, 25 ft each colour",BNTECHGO 16 AWG 50 ft kit,BNTECHGO,https://bntechgo.com/bntechgo-16-gauge-silicone-wire-kit-ultra-flexible-50-ft-black-and-red-each-color-25-ft-high-temp-200-c-600v-16-awg-silicone-wire-252-strands-of-tinned-copper-wire-stranded-wire-stranded-wire-for-model-battery/,19.68,listed,"Battery, switch, fuse and regulator input runs. 22 A chassis rating."
WR2,1,"Silicone wire, 22 AWG, six colours, 30 ft each",BNTECHGO 22 AWG 6 colour kit,BNTECHGO,https://bntechgo.com/bntechgo-22-gauge-silicone-wire-kit-ultra-flexible-6-colors-each-30-ft-high-temp-200-c-600v-22-awg-silicone-wire-60-strands-of-tinned-copper-wire-stranded-wire-for-model-battery/,19.68,listed,"Motor extensions, 5 V and 6 V branches, display and NeoPixel signals. 7 A chassis rating."
J2-J9,8,"JST-XH 2 pin cable matching pair, 2.5 mm pitch, 200 mm",Adafruit 4872,Adafruit,https://www.adafruit.com/product/4872,0.95,listed,"Seven motor connections plus one spare. Male half at the driver, female half on the motor lead."
J10,4,"Anderson Powerpole 15-45 A housing (two red, two black)",Anderson 1327-BK,DigiKey,https://www.digikey.com/en/products/detail/anderson-power-products-inc/1327-BK/10650475,0.64,listed,One stacked pair on the battery lead and one on the harness side.
J10C,4,"Anderson Powerpole contact, 15 A, 16-20 AWG, silver",Anderson 1332-BK,DigiKey,https://www.digikey.com/en/products/detail/anderson-power-products-inc/1332-BK/10650021,0.43,listed,Crimped onto 16 AWG; one per housing.
J11,1,"USB A to USB C cable, 1 m - Pi to KB2040 power and serial",Adafruit 4474,Adafruit,https://www.adafruit.com/product/4474,4.95,listed,Carries the USB CDC link the Pi sees as /dev/ttyACM1 and powers the KB2040.
J12,1,USB Type C plug breakout - 5 V feed into the Pi USB-C power input,Adafruit 5978,Adafruit,https://www.adafruit.com/product/5978,2.95,listed,Solder 18 AWG from U5 VOUT to VBUS and GND. The board's 5.1 k CC1 resistor is what makes the Pi accept the supply. Keep the run under 250 mm.
R1,1,"Through-hole resistors, 100 ohm 5% 1/4 W, pack of 25",Adafruit 4293,Adafruit,https://www.adafruit.com/product/4293,0.75,listed,One used: TFT backlight pin to 5 V inside the dome. Page reads Out of stock on 2026-09-12; any 100 ohm 1/4 W part works.
R2,1,"Through-hole resistors, 100 k ohm 5% 1/4 W, pack of 25",Adafruit 2787,Adafruit,https://www.adafruit.com/product/2787,0.95,listed,"One used: top leg of the battery divider, 12 V bus to the ADS1115 A0 node."
R3,1,"Through-hole resistor, 15 k ohm 5% 1/4 W",Stackpole CF14JT15K0,DigiKey,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT15K0/1741298,0.5,allowance,"One used: bottom leg of the battery divider, ADS1115 A0 node to ground. Price not read from the page; DigiKey singles are a few cents, minimum order applies."
R4,1,"Through-hole resistors, 10 k ohm 5% 1/4 W, pack of 25",Adafruit 2784,Adafruit,https://www.adafruit.com/product/2784,0.75,listed,"Three used: two sum the Pi left and right audio into the PAM8302 A+, one pulls up the dome index sensor. Page reads Out of stock on 2026-09-12."
SD1,1,"microSD card, 32 GB, A2 class - Raspberry Pi OS",Official Raspberry Pi A2 32 GB (Adafruit 6010),Adafruit,https://www.adafruit.com/product/6010,13.69,allowance,Allowance: the Adafruit listing reads No longer stocked on 2026-09-12. Any A2 class 32 GB card works; the price is the Adafruit list price.
SQ1,1,Hall effect switch US5881LUA - optional dome index (home) sensor,Adafruit 158,Adafruit,https://www.adafruit.com/product/158,2.0,listed,"Optional. Mounts on the body top plate facing a magnet on the dome plate; open drain to KB2040 A3, which has its internal pull-up enabled in firmware. Fit the R4 10 k pull-up as well if the run is long."
