id,candidate_id,source_group,source_provenance,source_page_url,original_image_url,width_px,height_px,downloaded_bytes_sha256,decoded_rgb_sha256,dhash_256,reviewed_on,review_method,visual_observation,design_implication
D018,18,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-18.png,1200,803,14749501589ab4c8c71b1f10cdbbbf0b09e5dabdce32c63f3b526a891bd84975,1e34e619221857af9d61eda205202f1d3eb2d9399b333e491105124dc0dde5fd,c6729cca8d8ac3f0e771e5f0f3e1f2c2f640fe45fe23feb0bd909f9d8f4796c6,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,A new curved panel is fitted to the rear dome edge to complete its contour.,Keep the dome silhouette smooth across service features.
D019,19,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-19.png,1200,803,b6348955146c931b9fde65dc1364d0345bdbb3b9d84ae3493e92e4c6a93082fe,f2c33b5e232e96e89de9ea7304f0a2b8990753ff8b11b7d8c9fb9cdb23989066,de98ede31de32fe12fc00f88c784c385600160433c42fc22f039e419f030f870,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The completed bare dome has a broad curved crown and a short near-vertical lower lip.,Avoid making the head a plain flat-topped cylinder.
D020,20,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-20.png,1200,803,e03ac34a8f0d10a76aa0e4698a063b7eccba219b13012ccd9392b7f6011d0ea3,4fa8dab3ec39a5ee35344e2ba0681c282dd5fa0289fdfb2c5123a3ff97bdc96c,f806f806f00cf00ee487863134c8b184ef826e826386c784974d93c39067d00f,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Dome underside exposes a circular wooden ring with the eye housing supported internally.,Keep the visible eyestalk support separate from concealed drive parts.
D021,21,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-21.png,1200,803,a6ad7529555e14bd562c459fc3baff9483cfa01b8c40a91cfbeddc5f8ece688d,8600e0755c2966a964fb084b9a0770783172b21ce5cd6cefe90b85e6a147096b,b7d6b7cc374c364c295c680c4b0dcb2d89b9c9a1c2cbc649e20086e1cde089e0,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,A technician holds the dome separately from the neck; a bronze reference prop stands behind.,Provide a defined sequence to lift the head without disturbing body joints.
D022,22,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-22.png,1200,803,4388239ac0a665f0048b85650b7c2973bffc87dac420eba47dbeb7ddc7f85201,a1b59193389027b15d14d1e9a828ae8cd0b61f2c4650a282f7c61d4f4ce5f36e,51b2b3b3b2c3b3c8ed18f938f9b8f138f878e89cf88cf8acf82ca86af86a1cde,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,A detached open skirt is handled as one large shell on a trolley.,Preserve complete vertically stacked body rings for assembly.
D023,23,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-23.png,803,1200,dc9af3e82f5547819307c1a38b0f032930212b8e65b1927051756b95252ed98b,d4ef88a381d44c2048c5a5f04b888466d86e4e059d778948e59b3c359c68aa07,f758ffd865c0cec8da686f68df64ff23dfa7fb3fdfbff3bf1cb7e1d9e57c6af8,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,"Inside the skirt, deep circular boss cavities follow the same four-row pattern as the outside.",Use consistent boss geometry across all rows.
D024,24,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-24.png,803,1200,2b2c5625e651de11e7101fa8ab40fed8c757f61c64368e7f69e5b76d5d4747ce,714c6cf2402aa53759d34d90cf72ebc63e8c691a54b87be440c647f4cebaf990,2620e320ec60cc64991d19898f08051b9e6cda6dce49c2cc964e823fc2ffe1c0,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The rear skirt section carries a continuous dark fender along its lower edge.,Continue the dark bumper band around the round revision.
D025,25,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-25.png,803,1200,ab8979bbe4f3d3bbdc3739e3c0f5d2966dc2a07742e43ccad01600d679c63af4,edbe1129c13f576b5f4fe127fc909676218b4651d8bf9812d7a07c759692f956,b030f630fd12fe0ef01ee0bb21e263e3a2d09af2922c86190e079edc079c058c,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Clamps hold the skirt seam while the restorer works through the open top.,Keep bolt and clamp access available before upper sections are fitted.
D026,26,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-26.png,803,1200,45b9115c6eb00aee745e4ef3c736ddf8b10dc2f837529c62d545d7436b099e47,6d146e8c9079150269d931860227c827b5a232466f9f7c2d1f73787822d4eb01,1836f83368603e3098307c385ea0fab8f6a8f4a7f99cd2f8dfd0cfc0afc0bfe2,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The skirt joint is reinforced from inside while the exterior boss pattern stays intact.,Put structural reinforcement behind the decorative surface.
D027,27,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-27.png,803,1200,ab421c6fd631d86264a65a7784e8e6126a73fe05d3dd896af95dc0f56cd076ef,38a2d755a8b089b243a6f018661d85d0a8b0f4b0e0220ac54975e2b22057b948,78d37c335c137c02bc06bc1cada84d9c24b4559414b5349514911487c47cd0f8,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Rejoined body halves show how mismatched paint emphasizes seams across shoulders and skirt.,Match finish across stack pieces and use deliberate seam trim.
D028,28,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-28.png,803,1200,88a803d1119900d70bb2e03383554686f2cfb645f2619b27593badae4c851e1e,a4574594f37c8e161d73dbbcde86376d5990ca3e2346165464a43d91eb5d53de,e1f865d87e1dfa2de78df70c178d16dd365794de12c6164e024e124f0646906f,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Arm tube and plunger project cleanly from ball sockets with no exposed operating mechanism.,"Remove visible servo cases, wires and horns from the exterior."
D029,29,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-29.png,1200,803,4455917f9c507f6fd84e7a1850a7a6e0c9423a0c53409e6ad5c5ad1719a549e6,adbe9f5ca89921064230a6f5bc7deedc3ee7b8b7f32c8df19d6d6f6a42d15b72,61f060dcefc00fc04fc06ec2cdc2c6c1f7c26ecc3fc10d412de11e6386ce91dd,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The shoulder joint crosses both curved wall and dark lower band.,Place repeatable locating features at each vertical stack interface.
D030,30,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-30.png,1200,803,9702b90eaeb6fd8389693e0ad9582848f257b94a699b9bade2aba7d5400ee09b,ccf9121bb6cef4b06af69f0649a468173217928e941551447566ce1fc6765148,bb00fb0033007200e238d8b99999a9daa97bd9f190f1b4643e084f00df04ff00,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,"A temporary oval viewing hole lies between the arm sockets, distinct from their pivots.",Keep the front between sockets visually clean; retain the control screen at the rear.
D031,31,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-31.png,1200,803,6ffd9ada13cfe7b70d2106d173cb59a4729ffdd7658e65d28c24633dbeba548d,0566f62ca60a03e7d4f7d8985e90453705084ab47a99a37a38b19b272a384adb,9e86df90fc80ab89a989eb89fb43f5017593a2e0fec67664126c927cee60ef62,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The oval hole is covered while both socket balls and slim arm stems remain exposed.,A shoulder face can hide mechanisms without hiding the intended appendages.
D032,32,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-32.png,1200,803,871ad85c441d174fedb073d42c0143a1cab96d27f42a0e55e7fa89974f091bfa,69e06af1ae3d097bdfdb1796eaee3238da7aa55703e8f90b3f101be215e7e784,3c0b3c0b390a3d06380438083d003d0838c826c83ce02d612d212c92199509c5,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The gun cage is fabricated from slender rods around a central tube.,Give the printed emitter open cage detail with robust scaled rods.
D033,33,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-33.png,1200,803,8a6407b6a54cebcec0f6b3327d919a0822da4910dfb00b56f14aa1ce248ed3e5,8dc996265a0e7c5edc396eb1cc95ad1287b70ff49b3a2b020a3ed8ced08c6e16,93701360134612c606ca1fca27067f14f87570e5e183c7c1c748e446f44ae64a,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Completed emitter rods converge toward the muzzle while its root remains a round pivot.,Use a clear open-cage silhouette and a compact socket joint.
D034,34,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-34.png,1200,803,f78521d97fad72e189e6ac7952916f30539c86b7b9b6c23245a9dab9e2c9212e,7a26b7cf78c820a1c3d1a43b795803ea48bff965b8d432422bc5274bf110431e,122192618a428c8789068a2ec85ac87d603be03be036e424e64c6610ee00ca00,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Close muzzle view shows an open central tube surrounded by bent cage rods.,Preserve an open muzzle impression instead of a solid blunt cylinder.
D035,35,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-35.png,1200,803,21817d4f5fec0cf412a2740e0bf3fb020c6db8155fc3e51c555518bfafecc4d8,2ea9e2cb3f1105ebe232a936b758d37366fb24cc998f5a8994336e269c2ac45a,f3b2fe9b7013e07f403d403e405c441e481e4e1f6c1fd00382032403007f41f8,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Painted shoulder shell has a smooth tapered wall above a broad dark lower band.,Use large quiet surfaces to make raised details legible.
D036,36,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-36.png,1200,803,ac0367d23e08ae9c1255247205c9a1e687e0e8d71a41039282613d65e7c5611d,6b22f7de5466b799675bd4017ae783f3d60a2aa71f5eecc990033363dbd87b5b,7e09e0f980fa10fb10fde1fca1fe20fa237de57de57f478f0b9f4a7f4a5f047e,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Rear shoulder paint meets an older dark band with visible surface wear.,Apply restrained finish variation without adding bulky geometry.
D037,37,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-37.png,1200,803,a9aa7983116dd4a8c7ab9a05379ea0ffcc79366e3cf39ccf620647f7a726c617,51ef1ca10fd7feb4e4bfb7a517b61bf7c3c30e2db33b0f1e279953f2b0dbea4a,8c00ac40ec60ec4ce903e300c650e6426040e341e20203800180498088f00438,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,A raised socket box projects from the shoulder; the arm pivots through its circular opening.,Size the external socket surround to cover the motion aperture.
D038,38,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-38.png,1200,803,729897b69b3c6126fe908afe914e2a71f6f697f80f5a6c8646dff04c89a93cc4,a7fc17a977a3919a13178691c3a733bf2895eae2522b02553e66c1f120d5f4ea,67f202f2e6f6828f993919383b3973393239e279fc1b5db305fdc09f9a59e714,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Classic and newer shoulder shells sit side by side; both hide their operating hardware.,Conceal motors independent of the chosen Dalek-era detailing.
D039,39,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-39.png,1200,803,44811b6f6c34c2eba73977f65fff9783d02722ff61483429555eac2f2881dd1e,ed575eb07b2b1a3be60028d97d68c7cba7799730544e943ae0f26e6efc8aabee,33f5c3f7c3fdc0fd40fc48fc44d6d096c8fc3f829686809ee1fb9e83969ec0bd,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Neck rings and thin upright posts are clearly separate from the recessed mesh.,Model or paint the grille darker than the projecting rings.
D040,40,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-40.png,1200,803,979b09ab17e1f1dfafb6708e35c2eeef0cf994ea2cd7aee6531a393f76267d8e,7fe227af9cdd099b4e89c02f9fffac6fe7f5f9abf5f09cf9cd04f4221b92d784,8194458df1f0f0f097909e105c70d934321c224dcca7929336513f615d231d13,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,A detached neck drum is painted from all sides before final assembly.,Finish recessed areas before the neck and head are stacked.
D041,41,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-41.png,803,1200,962ed6b1451c8706cd2bfa19a8b36437d8943a1890f0a3019a9fb402ccbc0dd5,4bdec4aba9d83de1c8214e8c2c6c71dab10c273cbb997c4cbcdc6e917829f6ab,66ee536651e6017d214d73fa33a9473c0a3e22a626868e9686860c8684860c8c,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,The almost-complete classic silhouette remains recognizable before shoulder slats are fitted.,"Preserve dome, ringed neck, taper, bumps and arm proportions first."
D042,42,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-42.png,803,1200,455717be991b04497b063e5cb0bd5b5bbccc36d91b82a27190ca2889aafbad5a,cf91340c3e77cdad28745e97b8fe395c9a5d9733d5beb75daa7cb0a89c34f745,e57ea7e57cf378fe50fc41fc07f6439e23bae75395438743074347460246c244,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Front three-quarter view shows separate socket boxes over a continuous shoulder belt.,Integrate socket surrounds into the shoulder body.
D043,43,restoration,Primary owner/restoration project photographs,https://www.thepropgallery.com/dalek-restoration,https://www.thepropgallery.com/media/wysiwyg/Dalek/TPG-original-dalek-restoration-43.png,803,1200,4d2f952cb11911b545d36b6539bdc57c56f4e417864a077e06d1cb1b37ad0e13,df2ff663b827cd5d8a37359e29f25c7f7588baed6794c922f6ee4a4ee15538fe,ccdd649d3279387f3c7d3cfc38d6699a79fb194309435b431b433a432647c026,2026-09-12,Visual inspection of labeled contact sheet; official auction images also inspected individually at 1920 x 1080,Eyestalk discs form a clear series of rings between dome and eye lens.,Add distinct concentric eyestalk detail within the print envelope.
